storage_id,unit_id,unit_kind,final_role,storage_kind,storage_path,byte_start,byte_end,logical_character_count,logical_byte_count,logical_sha256,physical_file_sha256,public_repository_status
storage:bibit:record:bibit000050,bibit:record:bibit000050,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,5890889,6109640,213850,218751,f02a39a2bd9ce3befe31194f7beb2335dd7fa38be209cc1f7c6fda67cb16cd2a,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000051,bibit:record:bibit000051,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6109641,6121413,11660,11772,ca7fe86a9381c907ff9f1ad282de4775d2f844da4273933140d9578bef3e0d71,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000052,bibit:record:bibit000052,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6121414,6208176,86108,86762,0671576fd850bf92dcee1941c044c21dcf6a9f3e7ad5a4a02fa881044eaa72af,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000053,bibit:record:bibit000053,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,3612862,3616492,3583,3630,fc5bcf5dc78080d9c1fe37be24b1ddfd3d7fabe380a5ad818a647fe75de0746d,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000055,bibit:record:bibit000055,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6208177,6357132,146361,148955,761b0f4189dab1a82ecc727b63a6d9e573fa4de3cda63b5baa198cf6c4f57ca8,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000056,bibit:record:bibit000056,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6357133,6403632,46091,46499,cb26a2a3270d175ec9db596e95908f8f9901f0a16e66c4b6d93fdb2020465e76,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000057,bibit:record:bibit000057,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6403633,6533697,128960,130064,cf2db19062fd52a08f4884255c285f74d0849e222e218d733a9f73a86711ba01,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000058,bibit:record:bibit000058,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,166032,294826,127588,128794,f9f97074302ce48579fff2d6150f32af90bb05ab363f609e16160b9213d78f42,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000059,bibit:record:bibit000059,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6533698,6620820,85700,87122,83a9616ec77c56b8b49d36e1f47ef396f89cec4cce68990898b50c43fb5b06bb,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000060,bibit:record:bibit000060,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,294827,296641,1789,1814,c1241095bea2a7cfd3bdcfb585c1d49f925da54cc4cda04edb14aa05f15f7afc,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000062,bibit:record:bibit000062,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6620821,6686478,64282,65657,9a424d94ee49026eeaf9e5b7580cf98ab3dc0293ceb8f97ac66e54f6329b58cf,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000064,bibit:record:bibit000064,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,296642,350460,53509,53818,0696c1ee58de6e87ee0d6489e6cdbeda7836c439cdd029afcf80e103622b481d,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000065,bibit:record:bibit000065,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,3616493,3629010,12405,12517,aa08a0aa733557d70a16c0b164f54d33e60a73896fa80455f004ab421bf1111b,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000066,bibit:record:bibit000066,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,350461,359855,9309,9394,d3a26d86a0cf96d4887a42406890c3df0a0efd468c0e403ebeddfb5f3aedb2a3,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000067,bibit:record:bibit000067,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,6686479,7324968,634489,638489,4b9f77252293e3e5aa75fc96511fc9766597d15b7b84634968513665d632287a,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000068,bibit:record:bibit000068,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,3629011,3855155,223935,226144,e0992dd757be3e0be345efac6346abeb8725d5b011b100e6f8bf3636f339899b,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000069,bibit:record:bibit000069,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,3855156,3873356,18094,18200,04b64ddbe6eb7a946803bd3d77e83fa86a372c3e0e53c89e9ab4b229c5ac66a3,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000070,bibit:record:bibit000070,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,7324969,7360648,35420,35679,cce2b958d3d8f67136d5a58edf6eb8e8b9acc4ce8a519b08f27c1345d1a33bb5,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000072,bibit:record:bibit000072,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,359856,390126,29912,30270,b03c392309fcf6b2265f63048f65641f84bd2ef511e35c05bd488176a59fa1e6,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000073,bibit:record:bibit000073,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,7360649,7469842,108074,109193,878e894f12da12ad8c73eb2d21af43bc69ef594281f35f54f1194cfee5486a12,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
