left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
wikisource:record:itws:483532,bibit:sonnet:bibit001036:sonnet_0005,sonnet_cross_role,0.843137,0.945055,86,false,bibit:sonnet:bibit001036:sonnet_0005,exclude_role_mismatch
wikisource:record:itws:483547,bibit:sonnet:bibit001036:sonnet_0009,sonnet_cross_role,0.861702,0.931034,81,false,bibit:sonnet:bibit001036:sonnet_0009,exclude_role_mismatch
wikisource:record:itws:483548,bibit:sonnet:bibit001036:sonnet_0010,sonnet_cross_role,0.765306,0.824176,75,false,bibit:sonnet:bibit001036:sonnet_0010,segment_quarantine_7b
wikisource:record:itws:483549,bibit:sonnet:bibit001036:sonnet_0011,sonnet_cross_role,0.685714,0.818182,72,false,bibit:sonnet:bibit001036:sonnet_0011,segment_quarantine_7b
wikisource:record:itws:483550,bibit:sonnet:bibit001036:sonnet_0012,sonnet_cross_role,0.848485,0.913043,84,false,bibit:sonnet:bibit001036:sonnet_0012,exclude_role_mismatch
wikisource:record:itws:483551,bibit:sonnet:bibit001036:sonnet_0013,sonnet_cross_role,0.754717,0.816327,80,false,bibit:sonnet:bibit001036:sonnet_0013,segment_quarantine_7b
wikisource:record:itws:483553,bibit:sonnet:bibit001036:sonnet_0016,sonnet_cross_role,0.785714,0.846154,88,false,bibit:sonnet:bibit001036:sonnet_0016,segment_quarantine_7b
wikisource:record:itws:483577,bibit:sonnet:bibit001036:sonnet_0019,sonnet_cross_role,0.781818,0.895833,86,false,bibit:sonnet:bibit001036:sonnet_0019,segment_quarantine_7b
wikisource:record:itws:483579,bibit:sonnet:bibit001036:sonnet_0021,sonnet_cross_role,0.795082,0.923810,97,false,bibit:sonnet:bibit001036:sonnet_0021,segment_quarantine_7b
wikisource:record:itws:483580,bibit:sonnet:bibit001036:sonnet_0022,sonnet_cross_role,0.798246,0.919192,91,false,bibit:sonnet:bibit001036:sonnet_0022,segment_quarantine_7b
wikisource:record:itws:483583,bibit:sonnet:bibit001036:sonnet_0025,sonnet_cross_role,0.696429,0.829787,78,false,bibit:sonnet:bibit001036:sonnet_0025,segment_quarantine_7b
wikisource:record:itws:483586,bibit:sonnet:bibit001036:sonnet_0028,sonnet_cross_role,0.855856,0.922330,95,false,bibit:sonnet:bibit001036:sonnet_0028,exclude_role_mismatch
wikisource:record:itws:483588,bibit:sonnet:bibit001036:sonnet_0033,sonnet_cross_role,0.811321,0.886598,86,false,bibit:sonnet:bibit001036:sonnet_0033,exclude_role_mismatch
wikisource:record:itws:483590,bibit:sonnet:bibit001036:sonnet_0034,sonnet_cross_role,0.775701,0.902174,83,false,bibit:sonnet:bibit001036:sonnet_0034,segment_quarantine_7b
wikisource:record:itws:483593,bibit:sonnet:bibit001036:sonnet_0038,sonnet_cross_role,0.766355,0.811881,82,false,bibit:sonnet:bibit001036:sonnet_0038,segment_quarantine_7b
wikisource:record:itws:483594,bibit:sonnet:bibit001036:sonnet_0039,sonnet_cross_role,0.871795,1.000000,102,false,bibit:sonnet:bibit001036:sonnet_0039,exclude_role_mismatch
wikisource:record:itws:483632,bibit:sonnet:bibit001036:sonnet_0043,sonnet_cross_role,0.780000,0.829787,78,false,bibit:sonnet:bibit001036:sonnet_0043,segment_quarantine_7b
wikisource:record:itws:483635,bibit:sonnet:bibit001036:sonnet_0046,sonnet_cross_role,0.737374,0.820225,73,false,bibit:sonnet:bibit001036:sonnet_0046,segment_quarantine_7b
wikisource:record:itws:483636,bibit:sonnet:bibit001036:sonnet_0048,sonnet_cross_role,0.794643,0.839623,89,false,bibit:sonnet:bibit001036:sonnet_0048,segment_quarantine_7b
wikisource:record:itws:483641,bibit:sonnet:bibit001036:sonnet_0051,sonnet_cross_role,0.765306,0.842697,75,false,bibit:sonnet:bibit001036:sonnet_0051,segment_quarantine_7b
wikisource:record:itws:483643,bibit:sonnet:bibit001036:sonnet_0053,sonnet_cross_role,0.819048,0.886598,86,false,bibit:sonnet:bibit001036:sonnet_0053,exclude_role_mismatch
wikisource:record:itws:483645,bibit:sonnet:bibit001036:sonnet_0055,sonnet_cross_role,0.870690,1.000000,101,false,bibit:sonnet:bibit001036:sonnet_0055,exclude_role_mismatch
wikisource:record:itws:483647,bibit:sonnet:bibit001036:sonnet_0056,sonnet_cross_role,0.867925,1.000000,92,false,bibit:sonnet:bibit001036:sonnet_0056,exclude_role_mismatch
wikisource:record:itws:483652,bibit:sonnet:bibit001036:sonnet_0061,sonnet_cross_role,0.887755,0.915789,87,false,bibit:sonnet:bibit001036:sonnet_0061,exclude_role_mismatch
wikisource:record:itws:483661,bibit:sonnet:bibit000807:sonnet_0192,sonnet_cross_role,0.834951,0.843137,86,false,bibit:sonnet:bibit000807:sonnet_0192,exclude_role_mismatch
wikisource:record:itws:483663,bibit:sonnet:bibit000807:sonnet_0206,sonnet_cross_role,0.812500,0.821053,78,false,bibit:sonnet:bibit000807:sonnet_0206,exclude_role_mismatch
