work_root_id,root_title,metadata_decision,proposed_role,linking_page_count,linking_page_ids,scan_title,scan_url,scan_page_id,scan_revision_id,scan_touched_utc,scan_wikitext_bytes,scan_is_redirect,scan_exists_in_dump,scan_shared_root_count,scan_shared_candidate_count,scan_shared_conditioned_count,scan_shared_nonitalian_count,scan_shared_nonstandard_hold_count,scan_shared_existing_reference_count,scan_title_language_signals,activation_status
itws:75353,Confessioni d'un scettico,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,29,75353 | 75355 | 75357 | 75399 | 75400 | 75501 | 75506 | 75513 | 75607 | 75608 | 75749 | 75754 | 75923 | 75924 | 75988 | 75997 | 76000 | 76390 | 76392 | 76457 | 76458 | 76459 | 76476 | 76480 | 76481 | 76546 | 76547 | 76585 | 76590,Confessioni d'un scettico.djvu,https://it.wikisource.org/wiki/Indice:Confessioni_d'un_scettico.djvu,102701,2848559,2026-07-29T19:54:33Z,2521,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:985861,Confessioni di un metafisico,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,93,985861 | 985900 | 985912 | 985927 | 985943 | 985946 | 985949 | 985950 | 985953 | 985957 | 985958 | 985960 | 985967 | 985969 | 986027 | 986119 | 986188 | 986234 | 986239 | 986376 | 986411 | 986477 | 986484 | 986538 | 986590 | 986627 | 986632 | 986753 | 986792 | 986875 | 986901 | 986940 | 986998 | 987124 | 987173 | 987364 | 987387 | 987534 | 987545 | 987620 | 987630 | 987652 | 987715 | 987770 | 988088 | 988146 | 988216 | 988403 | 988816 | 988826 | 988910 | 989288 | 989503 | 989634 | 990039 | 990406 | 990479 | 990601 | 991046 | 991520 | 991552 | 991963 | 992428 | 993363 | 993404 | 993546 | 993656 | 998864 | 999213 | 999440 | 999472 | 999503 | 999655 | 999884 | 1000058 | 1000299 | 1000431 | 1001540 | 1001791 | 1002037 | 1005382 | 1005388 | 1006771 | 1007114 | 1007235 | 1007708 | 1007817 | 1009563 | 1009666 | 1009912 | 1022506 | 1022751 | 1024657,"Mamiani - Confessioni di un metafisico, Vol. 1, 1865.pdf","https://it.wikisource.org/wiki/Indice:Mamiani_-_Confessioni_di_un_metafisico,_Vol._1,_1865.pdf",985813,3603470,2026-07-31T03:11:17Z,8834,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:880101,Conforta i popoli italiani allo studio della guerra,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,880101,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:880023,Conforta i principi cristiani a muover l'armi contro i Turchi,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,880023,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:640557,Conforto,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,1,640557,Opere di Mario Rapisardi 5.djvu,https://it.wikisource.org/wiki/Indice:Opere_di_Mario_Rapisardi_5.djvu,208038,3176800,2026-07-31T00:41:53Z,3944,False,True,35,22,0,0,0,0,,metadata_only_not_activated
itws:740312,Considerando l'altera valenza,historical_core_metadata_candidate,historical_general,1,740312,Rimatori siculo-toscani del Dugento.djvu,https://it.wikisource.org/wiki/Indice:Rimatori_siculo-toscani_del_Dugento.djvu,740258,3090410,2026-07-30T18:52:33Z,21499,False,True,127,113,0,0,2,0,,metadata_only_not_activated
itws:740629,Considerando la vera partenza,historical_core_metadata_candidate,historical_general,1,740629,Rimatori siculo-toscani del Dugento.djvu,https://it.wikisource.org/wiki/Indice:Rimatori_siculo-toscani_del_Dugento.djvu,740258,3090410,2026-07-30T18:52:33Z,21499,False,True,127,113,0,0,2,0,,metadata_only_not_activated
itws:72789,Considerazioni intorno ai Discorsi del Machiavelli sopra la prima Deca di Tito Livio,historical_core_metadata_candidate,historical_general,43,72789 | 72790 | 72791 | 72792 | 72797 | 72798 | 72799 | 72803 | 72804 | 72805 | 72806 | 72807 | 72808 | 72809 | 72810 | 72819 | 72820 | 72822 | 72823 | 72824 | 72825 | 72826 | 72827 | 72828 | 72829 | 72830 | 72831 | 72844 | 72845 | 72846 | 72847 | 72848 | 72849 | 72850 | 72851 | 72852 | 72853 | 72854 | 72855 | 72856 | 72857 | 72858 | 72859,"Guicciardini, Francesco – Scritti politici e ricordi, 1933 – BEIC 1844634.djvu","https://it.wikisource.org/wiki/Indice:Guicciardini,_Francesco_%E2%80%93_Scritti_politici_e_ricordi,_1933_%E2%80%93_BEIC_1844634.djvu",616985,3335388,2026-07-30T19:52:36Z,12685,False,True,6,1,0,0,0,0,,metadata_only_not_activated
itws:494221,Considerazioni sui diritti delle donne,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,3,494221 | 494222 | 494270,Isabella Gabardi-Brocchi Considerazioni sui diritti delle donne.djvu,https://it.wikisource.org/wiki/Indice:Isabella_Gabardi-Brocchi_Considerazioni_sui_diritti_delle_donne.djvu,493937,1936234,2026-07-30T08:07:47Z,440,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:533078,Considerazioni sulla importanza militare e commerciale della ferrovia direttissima Bologna-Firenze,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,12,533078 | 533079 | 533081 | 533082 | 533083 | 533084 | 533086 | 533087 | 533088 | 533089 | 533090 | 533091,Considerazioni sulla importanza militare e commerciale della ferrovia direttissima Bologna-Firenze.djvu,https://it.wikisource.org/wiki/Indice:Considerazioni_sulla_importanza_militare_e_commerciale_della_ferrovia_direttissima_Bologna-Firenze.djvu,532557,2722869,2026-07-31T12:28:57Z,2569,False,True,1,1,0,0,0,0,,metadata_only_not_activated
