author_label_id,raw_author_label,canonical_author_key,author_group_id,representative_author_label,resolution_status,sonnet_universe_count,new_candidate_count,v6_presence,protected_v6_presence
author_label:068eaf972ecbe75d,"Mantelli di Canobio, Giovanni de",canobio giovanni mantelli,author:3639c3c31fe7e05a,"Mantelli di Canobio, Giovanni de",deterministic_resolved_author,76,76,false,false
author_label:4da52551488ce374,"Manzoni, Alessandro",alessandro manzoni,author:cfca3f10706a41d1,"Manzoni, Alessandro",deterministic_resolved_author,6,6,false,false
author_label:f246e6768273a144,Marino Ceccoli,ceccoli marino,author:b036a6583a59c7b9,Marino Ceccoli,deterministic_resolved_author,17,17,false,false
author_label:fe3edbebbc4b3c4d,"Marino, Giovambattista",giovambattista marino,author:0909289fbfa28a9a,Giovambattista Marino,deterministic_resolved_author_alias,403,401,false,false
author_label:d98163dff38df2fe,Mario Malfettani,malfettani mario,author:d2d99211a4f2f881,Mario Malfettani,deterministic_resolved_author,13,13,false,false
author_label:3301794ae8dab823,"Martelli, Carlo",carlo martelli,author:e9146d6867a8cd2e,"Martelli, Carlo",deterministic_resolved_author,6,6,false,false
author_label:3745892187519577,"Matraini Contarini, Chiara",chiara contarini matraini,author:cee02a98551ead65,"Matraini Contarini, Chiara",deterministic_resolved_author,154,152,false,false
author_label:a9bedbf4244c5184,Matteo Frescobaldi,frescobaldi matteo,author:ac37c5f013cbbd04,Matteo Frescobaldi,deterministic_resolved_author,6,6,false,false
author_label:2e3339c707861a39,Matteo Maria Boiardo,boiardo maria matteo,author:485f9103a1095092,Matteo Maria Boiardo,deterministic_resolved_author_alias,10,10,false,false
author_label:e4d145aeb7b488fe,Mazzeo di Ricco,mazzeo ricco,author:6d55c79b90c50832,Mazzeo di Ricco,deterministic_resolved_author,1,1,false,false
author_label:11a7f915c51bc1b9,"Medici, Carlo de'",carlo medici,author:c3e2e765656af520,"Medici, Carlo de'",deterministic_resolved_author,8,8,false,false
author_label:d26d84749ff2925d,"Medici, Lorenzo de'",lorenzo medici,author:706e4af9a271733d,Lorenzo de' Medici,deterministic_resolved_author_alias,191,158,false,false
author_label:b29b8be9dff120ec,"Meglio, Antonio di",antonio meglio,author:d67a5c1094b30941,"Meglio, Antonio di",deterministic_resolved_author,11,11,false,false
author_label:727d5ed4d88599fc,"Meglio, Giovan Matteo di",giovan matteo meglio,author:a3d5edc6c985fa7d,"Meglio, Giovan Matteo di",deterministic_resolved_author,14,14,false,false
author_label:3ae60075e4cb3034,Melinto Leuttronio,leuttronio melinto,author:fde0b82f94226411,Melinto Leuttronio,deterministic_resolved_author,5,5,false,false
author_label:0865790c5cfcffdc,Messer Rinaldo d'Aquino,aquino messer rinaldo,author:82bb412b5cc070f4,Messer Rinaldo d'Aquino,deterministic_resolved_author,2,2,false,false
author_label:dd6dc0359667d7ef,"Metastasio, Pietro",metastasio pietro,author:2ada67e9ed19ed9d,"Metastasio, Pietro",deterministic_resolved_author,32,32,false,false
author_label:59de19aa8a7ab9fd,Michelangelo Buonarroti,buonarroti michelangelo,author:4a3cbeb1e0ec0734,Michelangelo Buonarroti,deterministic_resolved_author_alias,2,2,false,false
author_label:32a74044401fdac2,"Michelangelo Buonarroti, 1475-1564",buonarroti michelangelo,author:4a3cbeb1e0ec0734,Michelangelo Buonarroti,deterministic_resolved_author_alias,2,2,false,false
author_label:4a5c797e97f52353,Migliore degli Abati,abati migliore,author:c704edb0912a3e3f,Migliore degli Abati,deterministic_resolved_author,1,1,false,false
author_label:47540e8c8fad123b,Mino da Colle,colle mino,author:e8f83f25ff06c93f,Mino da Colle,deterministic_resolved_author,1,1,false,false
author_label:e32a82951a68eb4f,Mireo Rofeatico,mireo rofeatico,author:a94119217617d625,Mireo Rofeatico,deterministic_resolved_author,17,17,false,false
author_label:4bf9cf0460439e2a,Mirtilide Langiano,langiano mirtilide,author:5e27a9c7763a8ef5,Mirtilide Langiano,deterministic_resolved_author,8,8,false,false
author_label:6d55e13c2aec5f4d,Mirtilo Dianidio,dianidio mirtilo,author:544e4deb496b9975,Mirtilo Dianidio,deterministic_resolved_author,30,30,false,false
author_label:0939309ee818c200,Mirtinda Parraside,mirtinda parraside,author:a6fbefab0ef133a8,Mirtinda Parraside,deterministic_resolved_author,7,7,false,false
author_label:60259ea4b492ee76,Montano Falanzio,falanzio montano,author:ff55f2b4bb221ba9,Montano Falanzio,deterministic_resolved_author,39,39,false,false
author_label:014d7ff5824bf0d1,Monte Andrea | Schiatta Pallavillani,andrea monte pallavillani schiatta,author:906d239a9fb71162,Monte Andrea | Schiatta Pallavillani,deterministic_resolved_author,1,1,false,false
author_label:fcc53c4cd4564fbe,"Monti, Vincenzo",monti vincenzo,author:c65ff608ef524fe8,"Monti, Vincenzo",deterministic_resolved_author,25,23,false,false
author_label:cacf435dd68f67ab,"Morandi, Niccolò",morandi niccolo,author:1a30d0b37e69913e,"Morandi, Niccolò",deterministic_resolved_author,5,5,false,false
author_label:5e813012bad33095,"Morra, Isabella di",isabella morra,author:85fc9261be9ee008,"Morra, Isabella di",deterministic_resolved_author,10,10,false,false
author_label:e4538e8dc400ecf9,"Muzzarelli, Giovanni",giovanni muzzarelli,author:00dd2f0db603191c,"Muzzarelli, Giovanni",deterministic_resolved_author,31,31,false,false
author_label:99fcc9536b8bd854,Nadasto Licoate,licoate nadasto,author:74763ea0a92f265b,Nadasto Licoate,deterministic_resolved_author,29,29,false,false
author_label:c2d958502a83aa74,"Nannini, Remigio",nannini remigio,author:73865edd076dc6f8,"Nannini, Remigio",deterministic_resolved_author,33,33,false,false
author_label:ae95ba224b63bbca,Nelindo Acontimacario,acontimacario nelindo,author:c2becf28faf65f0b,Nelindo Acontimacario,deterministic_resolved_author,11,11,false,false
author_label:a021c133aa05b1ba,Neralco Castrimeniano,castrimeniano neralco,author:39a5b272f32b4b14,Neralco Castrimeniano,deterministic_resolved_author,21,21,false,false
author_label:8332a14ede4a4844,Neri Muscoli,muscoli neri,author:43c67becbcbbca8a,Neri Muscoli,deterministic_resolved_author,1,1,false,false
author_label:e0e14793d55c8097,Nicandro Tueboate,nicandro tueboate,author:c15b76ce94436055,Nicandro Tueboate,deterministic_resolved_author,5,5,false,false
author_label:d6adf73b140c022d,Niccolò da Correggio,correggio niccolo,author:4e86935c7dfd1c47,Niccolò da Correggio,deterministic_resolved_author,400,400,false,false
author_label:53a1d8e7ca674198,Niccolò de' Rossi,niccolo rossi,author:9a368ce3461ad373,Niccolò de' Rossi,deterministic_resolved_author_alias,74,74,false,false
author_label:a5d664712b884cd4,Niccolò Machiavelli,machiavelli niccolo,author:ad5c5da1572aaaf9,Niccolò Machiavelli,deterministic_resolved_author,2,2,false,false
author_label:57598d9a89a16ebe,Nice Euripiliana,euripiliana nice,author:4d1e782e3e55d512,Nice Euripiliana,deterministic_resolved_author,7,7,false,false
author_label:141bae39e6c84849,Nicio Meneladio,meneladio nicio,author:2985b0e905a5d734,Nicio Meneladio,deterministic_resolved_author,32,32,false,false
author_label:1f312a375b0abb2c,Nidalmo Tiseo,nidalmo tiseo,author:126be95d55bf88b2,Nidalmo Tiseo,deterministic_resolved_author,29,29,false,false
author_label:ffd0c1c488339c84,Nina siciliana,nina siciliana,author:f4956be05ca49ba6,Nina siciliana,deterministic_resolved_author,1,1,false,false
author_label:992fcca1ebedc7ef,Nosside Ecalia,ecalia nosside,author:1c407effc1ebe42a,Nosside Ecalia,deterministic_resolved_author,8,8,false,false
author_label:ab9479388dcfa82c,Odalmo Apesanzio,apesanzio odalmo,author:eee9401d5de2e8bb,Odalmo Apesanzio,deterministic_resolved_author,5,5,false,false
author_label:180e3b535e920279,Ofelte Nedeo,nedeo ofelte,author:3e06568f184e685a,Ofelte Nedeo,deterministic_resolved_author,5,5,false,false
author_label:ae3f7a0300027685,Olimpio Batilliano,batilliano olimpio,author:e112cc168ab10700,Olimpio Batilliano,deterministic_resolved_author,7,7,false,false
author_label:99665648f77a3d71,Olinto Arsenio,arsenio olinto,author:891f943d8d430ed9,Olinto Arsenio,deterministic_resolved_author,1,1,false,false
author_label:1ddb85a2e7389322,Onemio Dianio,dianio onemio,author:c434e637fd6608c3,Onemio Dianio,deterministic_resolved_author,21,21,false,false
author_label:ffdebf9f9845ee08,Onofrio Minzoni,minzoni onofrio,author:7ef5ac24a46efff3,Onofrio Minzoni,deterministic_resolved_author,1,1,false,false
author_label:021589be2368406c,Orialo Minieiano,minieiano orialo,author:5291424535893dba,Orialo Minieiano,deterministic_resolved_author,39,39,false,false
author_label:f70b5735d1b2b16c,Orito Piliaco,orito piliaco,author:2eea3c62f9266828,Orito Piliaco,deterministic_resolved_author,18,18,false,false
author_label:daa23a685dde9da1,Orlanduccio Orafo | Pallamidesse di Bellindote del Perfetto,bellindote orafo orlanduccio pallamidesse perfetto,author:9a8302bb56d76f2a,Orlanduccio Orafo | Pallamidesse di Bellindote del Perfetto,deterministic_resolved_author,2,2,false,false
