record_id,file_name,download_url,content_type,raw_byte_count,raw_sha256,cache_path,acquisition_status,error
ota_A14163,A14163.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14163/A14163.xml?sequence=6&isAllowed=y,text/xml,237509,1036486313c61a3dd6de1f587ff7da70dd10d7c8417a958a9a4f929b9a34f9b8,data/local/ilc_ota_source_audit_v1/payloads/ota_A14163_002_A14163.xml.bin,cached_verified,
ota_A14165,A14165.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14165/A14165.epub?sequence=4&isAllowed=y,application/epub+zip,47272,6095713c98df1bb76664fcc64781a4de542ef903c2bd66c8c4d319017f193296,data/local/ilc_ota_source_audit_v1/payloads/ota_A14165_001_A14165.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A14165,A14165.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14165/A14165.xml?sequence=6&isAllowed=y,text/xml,134378,5a389c76c772a6cf2683a67c2d3e8f98e142e09a38dce6f6a065577a629d7103,data/local/ilc_ota_source_audit_v1/payloads/ota_A14165_002_A14165.xml.bin,cached_verified,
ota_A14166,A14166.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14166/A14166.epub?sequence=4&isAllowed=y,application/epub+zip,47324,ae9ee78beceee10764e397d18a88b6d492f8441817dcb93514bbb88f5f6a8a85,data/local/ilc_ota_source_audit_v1/payloads/ota_A14166_001_A14166.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A14166,A14166.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14166/A14166.xml?sequence=6&isAllowed=y,text/xml,57691,7e1e1f259cc95cd55fba6188f725a7487aa11f6df3e95dd7e18265b37e9ac2b5,data/local/ilc_ota_source_audit_v1/payloads/ota_A14166_002_A14166.xml.bin,cached_verified,
ota_A14167,A14167.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14167/A14167.epub?sequence=4&isAllowed=y,application/epub+zip,76633,a10d024056598a4a8e9d66ace588c92086a6d8edc82bc04be01cf1c8c5e91dc4,data/local/ilc_ota_source_audit_v1/payloads/ota_A14167_001_A14167.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A14167,A14167.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14167/A14167.xml?sequence=6&isAllowed=y,text/xml,191376,8c58b9fcc3d28b8086a0c556593a2b0a67fdd1c014ff42b1b67e228e25f8f174,data/local/ilc_ota_source_audit_v1/payloads/ota_A14167_002_A14167.xml.bin,cached_verified,
ota_A14168,A14168.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14168/A14168.epub?sequence=4&isAllowed=y,application/epub+zip,38898,2cc12200d3ac841633166f59be2f050d81d2bb275813fd32562950c59c23064c,data/local/ilc_ota_source_audit_v1/payloads/ota_A14168_001_A14168.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A14168,A14168.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14168/A14168.xml?sequence=6&isAllowed=y,text/xml,97115,7a7cb5f2f0950998dfbae7b38460dfc6a018afe2a74e11875e7e77393f4c20c6,data/local/ilc_ota_source_audit_v1/payloads/ota_A14168_002_A14168.xml.bin,cached_verified,
ota_A14169,A14169.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14169/A14169.epub?sequence=4&isAllowed=y,application/epub+zip,111924,ed29b298ddbd0a4a647036969211b88c3c928d538403d1e4e2a6dd97a3399403,data/local/ilc_ota_source_audit_v1/payloads/ota_A14169_001_A14169.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
