review_id,checkpoint_4b_decision,review_unit_type,work_root_count,projected_wikitext_bytes,work_root_ids,representative_root_titles,scan_titles,scan_title_language_signals,scan_group_conditioned_count,scan_group_nonitalian_count,scan_group_nonstandard_hold_count,review_status,required_action,activation_status
itws-4b-review-0102,hold_no_direct_scan_link,work_root,1,678,itws:352300,Chercuto bruco,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0103,hold_no_direct_scan_link,work_root,1,928,itws:36577,Chi conoscesse sì la sua fallanza,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0104,hold_no_direct_scan_link,work_root,1,1509,itws:352878,Chi fosse sano di dentro e di fuore,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0105,hold_no_direct_scan_link,work_root,1,65847,itws:216426,"Chi lascia la via vecchia per la nuova, sa quel che lascia, e non sa quel che trova",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0106,hold_no_direct_scan_link,work_root,1,927,itws:4906,Chi non avesse mai veduto foco,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0107,hold_no_direct_scan_link,work_root,1,806,itws:19985,Chi per la patria muor,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0108,hold_no_direct_scan_link,work_root,1,947,itws:63742,Chi vedesse a Lucia un var capuzzo,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0109,hold_no_direct_scan_link,work_root,1,590,itws:31889,"Chi vuol veder, chi vuole",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0110,hold_no_direct_scan_link,work_root,1,5506,itws:71827,Chiamati dalla Divina Provvidenza,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0111,hold_no_direct_scan_link,work_root,1,981,itws:31894,Cinto di fosche e tenebrose bende,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0112,hold_no_direct_scan_link,work_root,1,89414,itws:70261,Clizia,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0113,hold_no_direct_scan_link,work_root,1,12348,itws:75953,Come si diventa socialisti,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0114,hold_no_direct_scan_link,work_root,1,780,itws:60708,Come vanno,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0115,hold_no_direct_scan_link,work_root,1,860,itws:427720,Compilazione dell'Eneide di Virgilio,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0116,hold_no_direct_scan_link,work_root,1,1787,itws:62186,Con gran disio pensando lungamente,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0117,hold_no_direct_scan_link,work_root,1,1003,itws:31903,Con venti e venti effigiate carte,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0118,hold_no_direct_scan_link,work_root,1,8238,itws:7028,Condizioni che devono servir alla riunione degli Stati di Genova a quelli di S. M. Sarda concordate dalle Potenze Alleate nel Congresso di Vienna,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0119,hold_no_direct_scan_link,work_root,1,765076,itws:87840,Condizioni politiche e amministrative della Sicilia,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
