object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit000939,Vita di Guidubaldo duca di Urbino,"Castiglione, Baldassarre",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,35598,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000939,01fd89c202c48d55ac159c2bcd8eb5e596e58ef70f99f8415315499f49d64b5a
bibit001648,I tre libri d'amore e il Panegirico all'amore,"Cattani da Diacceto, Francesco",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,129208,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001648,270de5c7211c06478ba0399ebf4a52cc430b1c4d43b75be85e32b86624aa6a35
bibit000892,Relazione di Germania,"Cavalli, Marino",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,94437,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000892,91956df9df5c319732380e205720efe58c9f730eb7537e364c08d6aecd89637d
bibit000056,Relazione di Marino Cavalli (1551),"Cavalli, Marino",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,46091,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000056,eb8549e3a353211d9f8e624586053359312356dfe335a0fb1469b7a20dd5ec45
bibit000355,Relazione di Spagna (1570),"Cavalli, Sigismondo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,63207,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000355,df129add272f1c1c4d06d028971bbe81861748cd95109b587f5d253390d0a92c
bibit000920,L'amico tradito,"Cecchini, Pier Maria",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,76665,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000920,0ed39e857a51c698ccfeb177450b5f21a9ad4432736e91a60f6c926e6fcae363
bibit000137,Vita,"Cellini, Benvenuto",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,917968,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000137,dff49d1ab839afbbb6d6c69925b5a6587a6bcc9dca69771071f33e294665f903
bibit000413,Relazione di Costantinopoli (1682),"Civran, Pietro",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,71174,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000413,97d2e9abaa4322cd5747586af194cd46957828577581b630362408a6023300dd
bibit000868,Relazione del Concordato,Commissarij,historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,132580,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000868,9e30f5027d1f9dbc6b92105ce12e8205bf6678b34a47be8d55a1e716e38671e3
bibit000140,Cronica,"Compagni, Dino",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,206024,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000140,ca6f32c720241fb5a36e3c0a84f2d9e4a77de788d7336c3556a1fe5ee83ab7e5
