ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
73194,"Il palazzo del diavolo, vol. 1/2 : $b Leggenda mantovana","Barbieri, Ulisse",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/73194,https://www.gutenberg.org/ebooks/73194.txt.utf-8,hit,quality_pass,,208895,189355,31605,3061,0,0.259927,0.786068,0.000412,1,editor_note:1,,,dc1f4b51ce9912d44a03bf859e41d03a7bc8bb5c66f59ace8f6c37784ca057b3,32,,,,,,,,,,,quality_pass_pending_editorial_activation_review
73195,"Il palazzo del diavolo, vol. 2/2 : $b Leggenda mantovana","Barbieri, Ulisse",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/73195,https://www.gutenberg.org/ebooks/73195.txt.utf-8,hit,quality_pass,,226574,207034,34353,3349,0,0.259133,0.780978,0.000411,1,editor_note:1,,,bddd8917efa16f6a5bc4ab5edf603643b08533334e667c12a8ecb1783943903a,31,,,,,,,,,,,quality_pass_pending_editorial_activation_review
73485,"Storia degli Italiani, vol. 15 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/73485,https://www.gutenberg.org/ebooks/73485.txt.utf-8,hit,quality_pass,,708856,689301,99253,12487,0,0.20219,0.721441,0.024711,2,alphabetical_index:1;editor_note:1,,,23438cc4017c2eeaa26e1f9a9e55838898b7caba4cf49e01915c37468612dd30,90,,,,,,,,,,,quality_pass_pending_editorial_activation_review
73733,Virtù e delitto : $b O la famiglia del masnadiero: novella storica del secolo XVI,"Barbieri, Gaetano",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/73733,https://www.gutenberg.org/ebooks/73733.txt.utf-8,hit,quality_pass,,151706,132195,22059,2166,0,0.252414,0.791694,0.00031,2,editor_note:1;errata:1,,,b2cb12e360fcd474bb82f427be432d5f59c4090c94a5bdaccc09dea534a5472a,24,,,,,,,,,,,quality_pass_pending_editorial_activation_review
74414,Medaglioni,"Nencioni, Enrico",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/74414,https://www.gutenberg.org/ebooks/74414.txt.utf-8,hit,quality_pass,,172480,153049,24928,2431,0,0.260992,0.768878,0.001535,1,editor_note:1,,,5ce52de3f6d854c04a5ff6e38bc5647bb2da1b5086f122484803775dcb62adf4,19,,,,,,,,,,,quality_pass_pending_editorial_activation_review
75122,"Garibaldi, Vol. 1 (of 2) : $b (1807-1859)","Guerzoni, Giuseppe",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/75122,https://www.gutenberg.org/ebooks/75122.txt.utf-8,hit,quality_pass,,972675,953172,152414,14992,0,0.262804,0.794443,0.004612,4,editor_note:1;errata:3,,,52611b27653ad0b7adac78d6aae3c3b99088c5aa23ceee07468ed99efab71461,150,,,,,,,,,,,quality_pass_pending_editorial_activation_review
75139,"Garibaldi,  Vol. 2 (of 2) : $b (1860-1882)","Guerzoni, Giuseppe",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/75139,https://www.gutenberg.org/ebooks/75139.txt.utf-8,hit,quality_pass,,1320103,1300596,204753,20758,0,0.256885,0.786535,0.009319,3,editor_note:1;errata:2,,,fa63bdf62da51478ff61d1ee0c3d1b6fbcc3941a00c41d65ecf6ebf4af2ec5b7,194,,,,,,,,,,,quality_pass_pending_editorial_activation_review
75196,"La giovinezza di Giulio Cesare, Volume 1 (of 2)","Rovani, Giuseppe",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/75196,https://www.gutenberg.org/ebooks/75196.txt.utf-8,hit,quality_pass,,240060,220474,36418,3509,0,0.258663,0.796439,0.000444,1,editor_note:1,,,942a6e002cf3a3f8e6d4a2deedc1925759bbaaf1eb8c0a02283dd1e89bf04913,41,,,,,,,,,,,quality_pass_pending_editorial_activation_review
75197,"La giovinezza di Giulio Cesare, Volume 2 (of 2)","Rovani, Giuseppe",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/75197,https://www.gutenberg.org/ebooks/75197.txt.utf-8,hit,quality_pass,,251826,232240,38022,3737,0,0.255273,0.793593,0.000409,1,editor_note:1,,,3a3c249b5088b86a75a3a7bd45d117e12aa519994bad1bf70ff157079fd75687,33,,,,,,,,,,,quality_pass_pending_editorial_activation_review
75660,Uno dei Mille della spedizione garibaldina nel Mezzodì d'Italia : $b romanzo storico,"Ottolini, V. (Vittore)",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/75660,https://www.gutenberg.org/ebooks/75660.txt.utf-8,hit,quality_pass,,530905,511279,82173,8485,0,0.252966,0.78436,0.001874,1,editor_note:1,,,fbf374b63deed2abf396c1fe65704e4c500bad1fc1a14510bbbb4463e48d6584,79,,,,,,,,,,,quality_pass_pending_editorial_activation_review
